ID_PVenta,FolioVenta,Total,IVA,IEPS,IDDeposito
184562,AZW49-217512,1752.1,0.0,0.0,1351
23497,AZW54-215080,1750.7,0.0,0.0,1351
209113,AZW17-217847,1750.7,0.0,0.0,1351
187130,AZY57-220258,1750.69,0.0,0.0,1351
6559,AZW07-214773,1750.0,0.0,0.0,1351
23498,AZW54-215080,1750.0,0.0,0.0,1351
23499,AZW54-215080,1750.0,0.0,0.0,1351
53079,AZM24-136385,1749.12,0.0,0.0,1351
190503,AZW07-217600,1747.52,0.0,0.0,1351
50370,AZC12-207563,1745.61,0.0,0.0,1351
187222,AZC51-209578,1745.61,0.0,0.0,1339
27433,AZQ57-161104,1743.22,0.0,0.0,1339
19562,AWW28-101961,1738.63,0.0,0.0,1339
59567,AZC12-207723,1736.37,0.0,0.0,1339
54213,AWW23-102216,1733.55,0.0,0.0,1339
1039367,AZQ55-173578,1731.01,0.0,0.0,1339
39109,AZI39-159280,1730.46,0.0,0.0,1339
32574,AZW30-215190,1723.39,0.0,0.0,1339
7872,AWW31-101883,1722.5,0.0,0.0,1339
1034306,AZH17-160731,1721.26,0.0,0.0,1339
206338,AWW52-103376,1719.58,0.0,0.0,1339
86552,AZL27-205162,1719.37,0.0,0.0,1339
1043456,AVA52-67544,1719.3,0.0,0.0,1339
13237,AWX52-164751,1719.0,0.0,0.0,1339
201963,AWX29-167419,1718.31,0.0,0.0,1339
1044372,AZN13-147319,1713.23,0.0,0.0,1339
1031218,AVC11-94500,1711.9,0.0,0.0,1339
195254,AZL24-206881,1711.6,0.0,0.0,1339
203509,AZN16-138990,1711.32,0.0,0.0,1350
156490,AZQ44-162677,1710.45,0.0,0.0,1350
32145,AVC39-84552,1704.34,0.0,0.0,1350
191281,AVC31-86189,1703.75,0.0,0.0,1350
194219,AZB57-135785,1703.07,0.0,0.0,1350
18448,AWW00-101949,1700.0,0.0,0.0,1350
201077,AZB09-135843,1699.26,0.0,0.0,1350
211036,AZJ49-156512,1698.6,0.0,0.0,1350
203591,AZG36-158033,1697.99,0.0,0.0,1350
46594,AVC11-104609,1695.6,0.0,0.0,1350
143939,AZL32-206034,1695.1,0.0,0.0,1350
21061,AZK34-122779,1694.25,0.0,0.0,1350
46352,AZT24-187087,1691.0,0.0,0.0,1350
39500,AZA33-107552,1689.62,0.0,0.0,1350
205733,AZT23-189154,1689.1,0.0,0.0,1350
11311,AWI45-155990,1688.95,0.0,0.0,1350
202190,AZL29-206985,1688.1,0.0,0.0,1350
10536,AZG15-155765,1687.68,0.0,0.0,1350
197184,AZJ09-156343,1687.19,0.0,0.0,1349
188175,AZJ21-156239,1686.56,0.0,0.0,1349
37520,AZX58-189591,1685.52,0.0,0.0,1349
45921,AWW04-124944,1678.32,0.0,0.0,1349
50166,AWX43-165236,1678.3,0.0,0.0,1349
202189,AZL29-206985,1677.9,0.0,0.0,1349
15664,AZO33-114363,1677.67,0.0,0.0,1349
142092,AZL24-206009,1677.5,0.0,0.0,1349
1054797,AWX00-179256,1677.03,0.0,0.0,1349
36469,AZJ48-154448,1672.59,0.0,0.0,1349
185695,AWW17-103243,1669.41,0.0,0.0,1349
179712,AZW16-217450,1668.96,0.0,0.0,1349
179714,AZW16-217450,1665.6,0.0,0.0,1349
200061,AZQ00-163274,1664.97,0.0,0.0,1349
199211,AZL50-206935,1664.96,0.0,0.0,1349
44482,AWI13-156449,1663.2,0.0,0.0,1349
181910,AZL28-206680,1662.16,0.0,0.0,1349
40899,AWI01-156411,1660.32,0.0,0.0,1349
153176,AWX48-166732,1657.35,0.0,0.0,1349
176804,AZY52-220088,1653.54,0.0,0.0,1348
10836,AZG21-155772,1653.3,0.0,0.0,1348
415790,AZQ08-165931,1650.0,227.55,0.0,1348
448073,AZQ44-166330,1650.0,227.55,0.0,1348
466496,AZQ38-166558,1650.0,227.55,0.0,1348
999360,AZE27-152385,1650.0,227.55,0.0,1348
45468,AZL29-204667,1648.73,0.0,0.0,1348
159529,AZL12-206291,1648.35,0.0,0.0,1348
84519,AZL57-205134,1639.25,0.0,0.0,1348
38054,AZL56-204551,1634.25,0.0,0.0,1348
178768,AZN09-138734,1632.0,0.0,0.0,1348
198262,AWI23-158117,1631.85,0.0,0.0,1348
51059,AZT56-187138,1628.28,0.0,0.0,1348
13708,AZJ44-154087,1625.04,0.0,0.0,1348
22395,AZC47-207127,1624.0,0.0,0.0,1348
49630,AZM17-136342,1624.0,0.0,0.0,1348
145213,AZJ25-155603,1623.24,0.0,0.0,1348
45469,AZL29-204667,1619.5,0.0,0.0,1348
202430,AZL57-206989,1617.92,0.0,0.0,1348
190084,AZC30-209616,1617.28,0.0,0.0,1348
80913,AZA57-107808,1614.19,0.0,0.0,1346
21201,AVA56-61813,1610.4,0.0,0.0,1346
149669,AWX09-166673,1605.96,0.0,0.0,1346
19949,AZY07-217742,1605.6,0.0,0.0,1346
