deposit_id,deposit_fecha,deposit_subtotal,deposit_iva,deposit_ieps,deposit_total,sales_fecha,matched_subtotal,matched_iva,matched_ieps,matched_total,diff_subtotal,diff_iva,diff_ieps,diff_total,diff_total_abs,subtotal_precision_pct,iva_precision_pct,ieps_precision_pct,num_folios,strategy_used,tolerance_used,processing_time_seconds
3292,2023-07-03,6109.78,0.0,0.0,6109.78,2023-06-30,6109.78,0.0,0.0,6109.78,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,2,fast_greedy,1.0,0.17819952964782715
1479,2023-07-03,11420.0,0.0,0.0,11420.0,2023-06-30,11420.0,0.0,0.0,11420.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,4,fast_greedy,1.0,0.23342299461364746
1548,2023-07-03,5933.0,0.0,0.0,5933.0,2023-06-30,5932.99,0.0,0.0,5932.99,0.010000000000218279,0.0,0.0,0.010000000000218279,0.010000000000218279,99.99983145120513,100.0,100.0,3,fast_greedy,1.0,0.5390431880950928
32,2023-07-03,11358.22,0.0,0.0,11358.22,2023-06-28,11358.22,0.0,0.0,11358.22,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,8,fast_greedy,1.0,0.2910885810852051
1494,2023-07-03,10503.5,0.0,0.0,10503.5,2023-07-02,10503.5,0.0,0.0,10503.5,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,10,fast_greedy,1.0,0.17827153205871582
3285,2023-07-03,19741.42,0.0,0.0,19741.42,2023-06-28,19741.41,0.0,0.0,19741.41,0.00999999999839929,0.0,0.0,0.00999999999839929,0.00999999999839929,99.99994934508258,100.0,100.0,13,fast_greedy,1.0,0.46688318252563477
3313,2023-07-03,11674.44,0.0,0.0,11674.44,2023-07-01,11674.44,0.0,0.0,11674.44,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,5,fast_greedy,1.0,0.238877534866333
3300,2023-07-03,12504.5,0.0,0.0,12504.5,2023-06-28,12504.5,0.0,0.0,12504.5,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,11,fast_greedy,1.0,0.32570314407348633
1555,2023-07-03,5584.0,0.0,0.0,5584.0,2023-07-01,5584.0,0.0,0.0,5584.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.1874523162841797
1510,2023-07-03,9054.0,0.0,0.0,9054.0,2023-06-30,9054.0,0.0,0.0,9054.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,3,fast_greedy,1.0,0.23462319374084473
